"Strain","Set","CFU_0","CFU_60","p_survival"
"1F5",1,8e+05,4000,0.005
"1F5",2,8e+05,1900,0.002375
"1F5",3,850000,7000,0.00823529411764706
"1FH2",1,52333.3333333333,100,0.00191082802547771
"1FH2",2,32000,1700,0.053125
"1FH2",3,1100000,200,0.000181818181818182
"CM1",1,360000,423333.333333333,1.17592592592593
"CM1",2,305000,155000,0.508196721311475
"DH5A",1,155000,0,0
"DH5A",2,533333.333333333,0,0
"DH5A",3,205000,0,0
"DRAD",1,3e+05,450000,1.5
"DRAD",2,255000,350000,1.37254901960784
"DRAD",3,713333.333333333,3e+05,0.420560747663551
