"Strain","Set","CFU_0","CFU_60","p_survival"
"1F5",1,5e+06,9000,0.0018
"1F5",2,2550000,9000,0.00352941176470588
"1F5",3,9e+06,10000,0.00111111111111111
"1FH2",1,663333.333333333,0,0
"1FH2",2,455000,0,0
"1FH2",3,813333.333333333,100,0.000122950819672131
"CM1",1,3020000,101000,0.0334437086092715
"CM1",2,490000,135666.666666667,0.27687074829932
"CM1",3,1286666.66666667,86000,0.066839378238342
"DH5A",1,4e+07,0,0
"DH5A",2,56500000,0,0
"DH5A",3,44500000,0,0
"DRAD",1,405000,320000,0.790123456790123
"DRAD",2,720000,530000,0.736111111111111
"DRAD",3,575000,816666.666666667,1.42028985507246
