"cycle","time","temp","well","a600","strain"
1,0,28.5,"A1",0.0943000018596649,"CONTROL"
1,0,28.5,"A2",0.094700001180172,"DH5A"
1,0,28.5,"A3",0.0904999971389771,"DRAD"
1,0,28.5,"A4",0.0939000025391579,"CM1"
1,0,28.5,"A5",0.0908999964594841,"1FH2"
1,0,28.5,"A6",0.0930999964475632,"1F5"
1,0,28.5,"A7",0.0939999967813492,"1F1"
1,0,28.5,"B1",0.0912000015377998,"CONTROL"
1,0,28.5,"B2",0.138199999928474,"DH5A"
1,0,28.5,"B3",0.141299992799759,"DRAD"
1,0,28.5,"B4",0.125400006771088,"CM1"
1,0,28.5,"B5",0.109099999070168,"1FH2"
1,0,28.5,"B6",0.0891000032424927,"1F5"
1,0,28.5,"B7",0.090599998831749,"1F1"
1,0,28.5,"C1",0.0912000015377998,"CONTROL"
1,0,28.5,"C2",0.126399993896484,"DH5A"
1,0,28.5,"C3",0.131099998950958,"DRAD"
1,0,28.5,"C4",0.12890000641346,"CM1"
1,0,28.5,"C5",0.119300000369549,"1FH2"
1,0,28.5,"C6",0.117700003087521,"1F5"
1,0,28.5,"C7",0.092399999499321,"1F1"
1,0,28.5,"D1",0.093800000846386,"CONTROL"
1,0,28.5,"D2",0.115800000727177,"DH5A"
1,0,28.5,"D3",0.13510000705719,"DRAD"
1,0,28.5,"D4",0.141100004315376,"CM1"
1,0,28.5,"D5",0.124499998986721,"1FH2"
1,0,28.5,"D6",0.125,"1F5"
1,0,28.5,"D7",0.0903000012040138,"1F1"
1,0,28.5,"E1",0.093699999153614,"CONTROL"
1,0,28.5,"E2",0.142800003290176,"DH5A"
1,0,28.5,"E3",0.129600003361702,"DRAD"
1,0,28.5,"E4",0.135299995541573,"CM1"
1,0,28.5,"E5",0.137999996542931,"1FH2"
1,0,28.5,"E6",0.12950000166893,"1F5"
1,0,28.5,"E7",0.0912000015377998,"1F1"
1,0,28.5,"F1",0.0944000035524368,"CONTROL"
1,0,28.5,"F2",0.145699992775917,"DH5A"
1,0,28.5,"F3",0.150800004601479,"DRAD"
1,0,28.5,"F4",0.138999998569489,"CM1"
1,0,28.5,"F5",0.1283999979496,"1FH2"
1,0,28.5,"F6",0.126300007104874,"1F5"
1,0,28.5,"F7",0.111599996685982,"1F1"
1,0,28.5,"G1",0.0917000025510788,"CONTROL"
1,0,28.5,"G2",0.146799996495247,"DH5A"
1,0,28.5,"G3",0.135000005364418,"DRAD"
1,0,28.5,"G4",0.139400005340576,"CM1"
1,0,28.5,"G5",0.119699999690056,"1FH2"
1,0,28.5,"G6",0.093800000846386,"1F5"
1,0,28.5,"G7",0.0930000022053719,"1F1"
1,0,28.5,"H1",0.096900001168251,"CONTROL"
1,0,28.5,"H2",0.0952999964356422,"DH5A"
1,0,28.5,"H3",0.0964000001549721,"DRAD"
1,0,28.5,"H4",0.0907000005245209,"CM1"
1,0,28.5,"H5",0.0912000015377998,"1FH2"
1,0,28.5,"H6",0.0939000025391579,"1F5"
2,1799.9,29.8,"A1",0.0944,"CONTROL"
2,1799.9,29.8,"A2",0.0901,"DH5A"
2,1799.9,29.8,"A3",0.0904,"DRAD"
2,1799.9,29.8,"A4",0.0931,"CM1"
2,1799.9,29.8,"A5",0.0903,"1FH2"
2,1799.9,29.8,"A6",0.0936,"1F5"
2,1799.9,29.8,"A7",0.0932,"1F1"
2,1799.9,29.8,"B1",0.0918,"CONTROL"
2,1799.9,29.8,"B2",0.0898,"DH5A"
2,1799.9,29.8,"B3",0.0939,"DRAD"
2,1799.9,29.8,"B4",0.094,"CM1"
2,1799.9,29.8,"B5",0.0938,"1FH2"
2,1799.9,29.8,"B6",0.0894,"1F5"
2,1799.9,29.8,"B7",0.0905,"1F1"
2,1799.9,29.8,"C1",0.0911,"CONTROL"
2,1799.9,29.8,"C2",0.0912,"DH5A"
2,1799.9,29.8,"C3",0.0922,"DRAD"
2,1799.9,29.8,"C4",0.0948,"CM1"
2,1799.9,29.8,"C5",0.0922,"1FH2"
2,1799.9,29.8,"C6",0.096,"1F5"
2,1799.9,29.8,"C7",0.0928,"1F1"
2,1799.9,29.8,"D1",0.0938,"CONTROL"
2,1799.9,29.8,"D2",0.0901,"DH5A"
2,1799.9,29.8,"D3",0.0942,"DRAD"
2,1799.9,29.8,"D4",0.0944,"CM1"
2,1799.9,29.8,"D5",0.0837,"1FH2"
2,1799.9,29.8,"D6",0.0939,"1F5"
2,1799.9,29.8,"D7",0.0906,"1F1"
2,1799.9,29.8,"E1",0.0937,"CONTROL"
2,1799.9,29.8,"E2",0.0944,"DH5A"
2,1799.9,29.8,"E3",0.0887,"DRAD"
2,1799.9,29.8,"E4",0.0941,"CM1"
2,1799.9,29.8,"E5",0.0996,"1FH2"
2,1799.9,29.8,"E6",0.0969,"1F5"
2,1799.9,29.8,"E7",0.0913,"1F1"
2,1799.9,29.8,"F1",0.0946,"CONTROL"
2,1799.9,29.8,"F2",0.0922,"DH5A"
2,1799.9,29.8,"F3",0.0935,"DRAD"
2,1799.9,29.8,"F4",0.0943,"CM1"
2,1799.9,29.8,"F5",0.0908,"1FH2"
2,1799.9,29.8,"F6",0.0949,"1F5"
2,1799.9,29.8,"F7",0.1124,"1F1"
2,1799.9,29.8,"G1",0.0915,"CONTROL"
2,1799.9,29.8,"G2",0.091,"DH5A"
2,1799.9,29.8,"G3",0.0867,"DRAD"
2,1799.9,29.8,"G4",0.0956,"CM1"
2,1799.9,29.8,"G5",0.0942,"1FH2"
2,1799.9,29.8,"G6",0.0945,"1F5"
2,1799.9,29.8,"G7",0.0937,"1F1"
2,1799.9,29.8,"H1",0.0964,"CONTROL"
2,1799.9,29.8,"H2",0.0914,"DH5A"
2,1799.9,29.8,"H3",0.0964,"DRAD"
2,1799.9,29.8,"H4",0.091,"CM1"
2,1799.9,29.8,"H5",0.0915,"1FH2"
2,1799.9,29.8,"H6",0.095,"1F5"
3,3599.8,30.1,"A1",0.0946,"CONTROL"
3,3599.8,30.1,"A2",0.0902,"DH5A"
3,3599.8,30.1,"A3",0.0906,"DRAD"
3,3599.8,30.1,"A4",0.0919,"CM1"
3,3599.8,30.1,"A5",0.091,"1FH2"
3,3599.8,30.1,"A6",0.095,"1F5"
3,3599.8,30.1,"A7",0.0969,"1F1"
3,3599.8,30.1,"B1",0.093,"CONTROL"
3,3599.8,30.1,"B2",0.0902,"DH5A"
3,3599.8,30.1,"B3",0.0938,"DRAD"
3,3599.8,30.1,"B4",0.0942,"CM1"
3,3599.8,30.1,"B5",0.0943,"1FH2"
3,3599.8,30.1,"B6",0.0912,"1F5"
3,3599.8,30.1,"B7",0.0909,"1F1"
3,3599.8,30.1,"C1",0.0911,"CONTROL"
3,3599.8,30.1,"C2",0.0917,"DH5A"
3,3599.8,30.1,"C3",0.0922,"DRAD"
3,3599.8,30.1,"C4",0.095,"CM1"
3,3599.8,30.1,"C5",0.0932,"1FH2"
3,3599.8,30.1,"C6",0.0979,"1F5"
3,3599.8,30.1,"C7",0.0934,"1F1"
3,3599.8,30.1,"D1",0.094,"CONTROL"
3,3599.8,30.1,"D2",0.0909,"DH5A"
3,3599.8,30.1,"D3",0.0943,"DRAD"
3,3599.8,30.1,"D4",0.0946,"CM1"
3,3599.8,30.1,"D5",0.0846,"1FH2"
3,3599.8,30.1,"D6",0.0963,"1F5"
3,3599.8,30.1,"D7",0.0917,"1F1"
3,3599.8,30.1,"E1",0.0939,"CONTROL"
3,3599.8,30.1,"E2",0.095,"DH5A"
3,3599.8,30.1,"E3",0.0888,"DRAD"
3,3599.8,30.1,"E4",0.0945,"CM1"
3,3599.8,30.1,"E5",0.1003,"1FH2"
3,3599.8,30.1,"E6",0.0985,"1F5"
3,3599.8,30.1,"E7",0.092,"1F1"
3,3599.8,30.1,"F1",0.0952,"CONTROL"
3,3599.8,30.1,"F2",0.0932,"DH5A"
3,3599.8,30.1,"F3",0.0939,"DRAD"
3,3599.8,30.1,"F4",0.0943,"CM1"
3,3599.8,30.1,"F5",0.0912,"1FH2"
3,3599.8,30.1,"F6",0.0967,"1F5"
3,3599.8,30.1,"F7",0.113,"1F1"
3,3599.8,30.1,"G1",0.0919,"CONTROL"
3,3599.8,30.1,"G2",0.0917,"DH5A"
3,3599.8,30.1,"G3",0.0873,"DRAD"
3,3599.8,30.1,"G4",0.0963,"CM1"
3,3599.8,30.1,"G5",0.0948,"1FH2"
3,3599.8,30.1,"G6",0.0958,"1F5"
3,3599.8,30.1,"G7",0.0943,"1F1"
3,3599.8,30.1,"H1",0.0968,"CONTROL"
3,3599.8,30.1,"H2",0.0952,"DH5A"
3,3599.8,30.1,"H3",0.0963,"DRAD"
3,3599.8,30.1,"H4",0.0916,"CM1"
3,3599.8,30.1,"H5",0.0921,"1FH2"
3,3599.8,30.1,"H6",0.0959,"1F5"
4,5399.8,30.1,"A1",0.0944,"CONTROL"
4,5399.8,30.1,"A2",0.0913,"DH5A"
4,5399.8,30.1,"A3",0.0909,"DRAD"
4,5399.8,30.1,"A4",0.0931,"CM1"
4,5399.8,30.1,"A5",0.0928,"1FH2"
4,5399.8,30.1,"A6",0.0986,"1F5"
4,5399.8,30.1,"A7",0.1003,"1F1"
4,5399.8,30.1,"B1",0.0934,"CONTROL"
4,5399.8,30.1,"B2",0.0909,"DH5A"
4,5399.8,30.1,"B3",0.0939,"DRAD"
4,5399.8,30.1,"B4",0.0949,"CM1"
4,5399.8,30.1,"B5",0.0955,"1FH2"
4,5399.8,30.1,"B6",0.095,"1F5"
4,5399.8,30.1,"B7",0.0923,"1F1"
4,5399.8,30.1,"C1",0.0911,"CONTROL"
4,5399.8,30.1,"C2",0.0923,"DH5A"
4,5399.8,30.1,"C3",0.0921,"DRAD"
4,5399.8,30.1,"C4",0.0957,"CM1"
4,5399.8,30.1,"C5",0.0942,"1FH2"
4,5399.8,30.1,"C6",0.1032,"1F5"
4,5399.8,30.1,"C7",0.095,"1F1"
4,5399.8,30.1,"D1",0.0942,"CONTROL"
4,5399.8,30.1,"D2",0.0914,"DH5A"
4,5399.8,30.1,"D3",0.0942,"DRAD"
4,5399.8,30.1,"D4",0.0952,"CM1"
4,5399.8,30.1,"D5",0.0858,"1FH2"
4,5399.8,30.1,"D6",0.1002,"1F5"
4,5399.8,30.1,"D7",0.0935,"1F1"
4,5399.8,30.1,"E1",0.0935,"CONTROL"
4,5399.8,30.1,"E2",0.0957,"DH5A"
4,5399.8,30.1,"E3",0.0892,"DRAD"
4,5399.8,30.1,"E4",0.0947,"CM1"
4,5399.8,30.1,"E5",0.1006,"1FH2"
4,5399.8,30.1,"E6",0.1004,"1F5"
4,5399.8,30.1,"E7",0.0941,"1F1"
4,5399.8,30.1,"F1",0.0951,"CONTROL"
4,5399.8,30.1,"F2",0.0936,"DH5A"
4,5399.8,30.1,"F3",0.094,"DRAD"
4,5399.8,30.1,"F4",0.0944,"CM1"
4,5399.8,30.1,"F5",0.0916,"1FH2"
4,5399.8,30.1,"F6",0.0997,"1F5"
4,5399.8,30.1,"F7",0.1145,"1F1"
4,5399.8,30.1,"G1",0.0922,"CONTROL"
4,5399.8,30.1,"G2",0.0923,"DH5A"
4,5399.8,30.1,"G3",0.0876,"DRAD"
4,5399.8,30.1,"G4",0.0965,"CM1"
4,5399.8,30.1,"G5",0.0951,"1FH2"
4,5399.8,30.1,"G6",0.0972,"1F5"
4,5399.8,30.1,"G7",0.0953,"1F1"
4,5399.8,30.1,"H1",0.0952,"CONTROL"
4,5399.8,30.1,"H2",0.0947,"DH5A"
4,5399.8,30.1,"H3",0.0961,"DRAD"
4,5399.8,30.1,"H4",0.0921,"CM1"
4,5399.8,30.1,"H5",0.0926,"1FH2"
4,5399.8,30.1,"H6",0.0989,"1F5"
5,7199.8,30.1,"A1",0.0944,"CONTROL"
5,7199.8,30.1,"A2",0.0923,"DH5A"
5,7199.8,30.1,"A3",0.091,"DRAD"
5,7199.8,30.1,"A4",0.0964,"CM1"
5,7199.8,30.1,"A5",0.094,"1FH2"
5,7199.8,30.1,"A6",0.1043,"1F5"
5,7199.8,30.1,"A7",0.1092,"1F1"
5,7199.8,30.1,"B1",0.0936,"CONTROL"
5,7199.8,30.1,"B2",0.0917,"DH5A"
